Year;Bornholm;Fyn;K�benhavn by;K�benhavns omegn;Nordjylland;Nordsj�lland;Sydjylland;Vest- og Sydsj�lland;Vestjylland;�stjylland;�stsj�lland
1998;92;85;85;87;88;85;84;85;86;87;88
1999;93;87;87;89;86;86;88;87;87;89;91
2000;90;87;87;89;88;87;88;88;88;89;91
2001;89;86;82;86;85;87;84;87;86;84;88
2002;88;87;84;88;86;87;86;88;87;85;90
2003;93;89;86;89;89;88;88;89;89;90;91
2004;91;89;88;89;90;89;89;90;90;91;92
2005;89;89;86;89;89;89;88;89;89;90;91
2006;92;89;87;88;90;89;88;90;91;90;92
2007;92;89;86;88;89;88;88;88;90;90;90
2008;89;89;87;89;90;89;89;90;90;90;91
2009;92;90;88;89;90;89;89;90;91;91;90
2010;91;91;88;90;91;90;90;90;92;91;92
2011;93;92;88;90;91;90;90;91;92;92;91
2012;90;93;90;90;92;91;91;91;94;92;93
2013;91;93;90;92;93;92;93;92;94;94;94
2014;91;95;91;92;94;93;94;94;95;95;95
2015;96;96;92;93;95;95;94;95;97;96;96
2016;92;96;92;94;96;95;94;95;95;96;95
2017;96;96;89;93;95;95;93;95;95;95;97
2018;90;94;87;92;93;96;93;93;94;95;96
2019;94;95;91;91;95;94;93;93;95;95;96
2020;94;95;93;92;95;95;94;93;95;95;95
2021;94;95;93;92;95;96;93;93;95;95;96
2022;92;94;94;92;95;94;93;92;94;95;95
2023;48;51;51;49;52;51;50;48;51;52;52