Year;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85+
1994;3;15;18;0;0;0;0;0;0;0;0
1995;1;5;13;1;0;0;0;0;0;0;0
1996;4;32;74;7;1;0;1;0;0;0;0
1997;3;14;35;6;1;1;0;1;0;0;0
1998;1;8;11;6;1;0;0;1;0;0;0
1999;0;3;2;1;0;0;0;0;0;0;0
2000;2;2;4;2;0;0;0;0;0;0;0
2001;1;4;4;2;0;0;0;0;0;0;0
2002;2;15;10;2;2;1;0;0;0;0;0
2003;0;0;0;0;0;0;0;0;0;0;0
2004;0;0;0;0;0;0;0;0;0;0;0
2005;0;0;1;1;0;0;0;0;0;0;0
2006;4;6;10;3;3;1;0;0;0;0;0
2007;0;0;0;2;0;0;0;0;0;0;0
2008;1;6;0;2;4;1;0;0;0;0;0
2009;1;3;0;0;2;0;0;0;0;0;0
2010;1;0;2;0;2;0;0;0;0;0;0
2011;6;17;26;18;12;3;1;1;0;0;0
2012;0;0;0;1;1;0;0;0;0;0;0
2013;0;3;8;2;2;1;1;0;0;0;0
2014;2;8;0;2;11;4;0;0;0;0;0
2015;1;3;2;1;2;0;0;0;0;0;0
2016;0;1;2;0;0;0;0;0;0;0;0
2017;0;0;0;2;2;0;0;0;0;0;0
2018;2;0;1;2;2;1;0;0;0;0;0
2019;1;3;0;5;3;2;0;1;0;0;0
2020;0;0;0;0;1;1;2;0;0;0;0
2021;0;0;0;0;0;0;0;0;0;0;0
2022;0;0;0;0;0;0;0;0;0;0;0
2023;1;2;5;0;1;0;0;0;0;0;0
2024;1;4;2;3;8;4;2;1;0;0;0